Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	7:18:15	0.00	270.00	0.00000	0.01290	
1/1/0	7:19:15	0.00	270.00	0.00000	0.00645	
1/1/0	7:20:15	0.00	315.00	0.00000	0.01290	
1/1/0	7:21:15	0.00	270.00	0.00000	0.00000	
1/1/0	7:22:15	0.00	270.00	0.00000	0.01290	
1/1/0	7:23:15	0.00	270.00	0.00000	0.00645	
1/1/0	7:24:15	0.00	315.00	0.00000	0.01290	
1/1/0	7:25:16	0.00	315.00	0.00000	0.00645	
1/1/0	7:26:16	0.00	292.50	0.00000	0.00645	
1/1/0	7:27:16	0.00	315.00	0.00000	0.00645	
1/1/0	7:28:16	0.00	270.00	0.00000	0.00645	
1/1/0	7:29:16	0.00	270.00	0.00000	0.01290	
1/1/0	7:30:16	0.00	270.00	0.00000	0.00645	
1/1/0	7:31:16	0.00	315.00	0.00000	0.00645	
1/1/0	7:32:16	0.00	315.00	0.00000	0.00645	
1/1/0	7:33:17	0.00	270.00	0.00000	0.01290	
1/1/0	7:34:17	0.00	270.00	0.00000	0.00645	
1/1/0	7:35:17	0.00	315.00	0.00000	0.00645	
1/1/0	7:36:17	0.00	315.00	0.00000	0.00645	
1/1/0	7:37:17	0.00	315.00	0.00000	0.01290	
